Date,Location,Demographic_Category,census,Up_to_date,Up_to_date_pct_agegroup
09/13/2023,KY,Ages_25-39_yrs,867928,58947,6.8
09/13/2023,MA,Female_Ages_<5yrs,174412,7832,4.5
09/13/2023,MD,Sex_Unknown,,1967,
09/13/2023,MI,Female_Ages_50-64_yrs,1044320,246167,23.6
09/13/2023,MP,Ages_75+_yrs,731,218,29.8
09/13/2023,MT,Ages_50-64_yrs,209419,39544,18.9
09/13/2023,MT,Female_Ages_25-49_yrs,159136,19778,12.4
09/13/2023,ND,Ages_25-49_yrs,245839,26955,11
09/13/2023,ND,Female_Ages_<2yrs,10184,305,3
09/13/2023,ND,Male_Ages_65-74_yrs,33343,14576,43.7
09/13/2023,NM,Ages_<5yrs,120986,2494,2.1
09/13/2023,AK,Female_Ages_25-39_yrs,80186,9014,11.2
09/13/2023,CT,Female_Ages_5-11_yrs,136014,9384,6.9
09/13/2023,CT,Male_Ages_2-4_yrs,56970,1251,2.2
09/13/2023,DE,Male_Ages_12-17_yrs,35198,,
09/13/2023,FL,Sex_Female,10980681,1418119,12.9
09/13/2023,GA,Ages_<5yrs,656566,6402,1
09/13/2023,GA,Male_Ages_18-24_yrs,516398,18297,3.5
09/13/2023,GU,Ages_5-11_yrs,21445,667,3.1
09/13/2023,GU,Ages_<2yrs,6284,13,0.2
09/13/2023,GU,Female_Ages_18-24_yrs,8754,761,8.7
09/13/2023,GU,Male_Ages_75+_yrs,2173,720,33.1
09/13/2023,IA,Ages_40-49_yrs,361158,57906,16
09/13/2023,ID,Male_Ages_65-74_yrs,85990,,
09/13/2023,IN,Female_Ages_2-4_yrs,124263,281,0.2
09/13/2023,MA,Ages_5-11_yrs,518396,73486,14.2
09/13/2023,MA,Male_Ages_2-4_yrs,110390,5885,5.3
09/13/2023,MO,Ages_40-49_yrs,720159,84716,11.8
09/13/2023,MP,Sex_Female,24331,3003,12.3
09/13/2023,MS,Male_Ages_12-17_yrs,124573,2160,1.7
09/13/2023,MT,Ages_18-24_yrs,97764,5323,5.4
09/13/2023,NC,Ages_25-49_yrs,3408095,344397,10.1
09/13/2023,ND,Ages_<2yrs,21030,610,2.9
09/13/2023,ND,Ages_<5yrs,54101,1230,2.3
09/13/2023,ND,Male_Ages_75+_yrs,21979,11601,52.8
09/13/2023,NJ,Ages_18-24_yrs,753634,76774,10.2
09/13/2023,NY,Female_Ages_25-39_yrs,2071722,301681,14.6
09/13/2023,OH,Ages_25-49_yrs,3665905,384157,10.5
09/13/2023,PA,Male_Ages_65+_yrs,1051903,,
09/13/2023,SC,Male_Ages_5-11_yrs,221470,,
